file,speaker,gender,dialect,sentence_number,nC_tier1,rateC_tier1,meanC_tier1,meanCLn_tier1,deltaC_tier1,deltaCLn_tier1,varcoC_tier1,rPVI_C_tier1,nPVI_C_tier1,nV_tier1,rateV_tier1,meanV_tier1,meanVLn_tier1,deltaV_tier1,deltaVLn_tier1,varcoV_tier1,rPVI_V_tier1,nPVI_V_tier1,percentV_tier1,nCV_tier1,rateCV_tier1,meanCV_tier1,meanCVLn_tier1,deltaCV_tier1,deltaCVLn_tier1,varcoCV_tier1,rPVI_CV_tier1,nPVI_CV_tier1
23m_zh_071,23,m,zh,071,6,6.755849217938841,0.14801988140065278,-2.201451573929088,0.12767204697154486,0.8216698493638076,0.8625330986853622,11.22328705892147,65.95197581899326,5,8.476876589900781,0.11796797905391054,-2.2377944781868617,0.05200555902807386,0.5386396762535598,0.4408447058697825,6.12161963965598,62.84317870426944,39.909078801723396,11,7.442695388014361,0.1343599257884972,-2.2179710758644395,0.09735610740036585,0.6737833264610531,0.7245918515437337,8.58091886320472,53.97855220516365
23m_zh_072,23,m,zh,072,8,6.570841850275682,0.15218750089960614,-2.0879392324678347,0.08562459796309208,0.7627699231813138,0.5626256917089153,9.08597301103545,71.12700670056536,7,11.965000486331117,0.08357709647754762,-2.633392929193588,0.04908334743575,0.5959724435546191,0.587282275939508,5.392742398993211,60.29386770226874,32.45641030873415,15,8.321592109897852,0.12016931216931216,-2.342484290939853,0.07715952835732952,0.72282011968221,0.6420901223817929,7.720052624456428,58.10610097746858
23m_zh_073,23,m,zh,073,7,8.667848881877669,0.11536887797972031,-2.3230827286992692,0.05333502056016624,0.7278728064675287,0.4622998983273594,5.384386416138547,53.61652247103795,7,17.00018364547643,0.05882289396715368,-2.897948710237332,0.02302861138032829,0.38821972052140297,0.39149062256588935,3.5932155953596974,56.281266690809396,33.76904276804407,14,11.481598571773938,0.087095885973437,-2.6105157194683004,0.04917841712297746,0.6348669382897256,0.5646468438012809,6.5902540078964025,70.004013280456
23m_zh_074,23,m,zh,074,7,7.5514057864480355,0.13242567387844897,-2.2499230688999745,0.08089253900882491,0.818292684389774,0.6108523871517139,4.444087648756973,42.74005677356011,6,13.015123900659239,0.07683369037688133,-2.626567922474628,0.03033791305334235,0.3733003943519982,0.39485169727667796,4.555212037901189,56.29216675533011,33.21384491704428,13,9.366116647606601,0.1067678353392639,-2.4237591551651994,0.0669876562032266,0.6565506261815872,0.6274142019491882,6.421489304627147,57.67571049873603
23m_zh_075,23,m,zh,075,4,5.609548523044584,0.1782674658917559,-1.7776368714272834,0.057886625397341636,0.4042193224276213,0.32471783400169285,5.358254680862853,32.82132279537678,4,11.535730769084655,0.0866871826343212,-2.473274694759125,0.023665461227152674,0.27191914100507714,0.272998389242645,4.272699018399031,48.431677129262944,32.71774362765685,8,7.548461637211691,0.13247732426303854,-2.1254557830932037,0.06381518284186215,0.48987225770837334,0.48170645955344615,9.115158343039312,65.7186180085706
23m_zh_076,23,m,zh,076,4,6.560634543834826,0.1524242805049585,-2.038645554235505,0.08804864189867483,0.6943098433677252,0.5776549615781885,9.685204102998245,79.59000592104846,5,13.589839724438228,0.07358438511984274,-2.680811284162128,0.030628736873639362,0.42793643536335024,0.41623962507475015,2.380875906526501,35.93106778409814,37.63448824931071,9,9.206039941548953,0.10862433862433862,-2.3954042930836286,0.07143432250454843,0.6220037972551226,0.657627226174362,8.674839301491287,71.15819184080398
23m_zh_077,23,m,zh,077,5,8.381336894436869,0.11931270781678663,-2.174511955448981,0.04101020699588836,0.35192664925731115,0.3437203609431321,6.253438299600983,51.621120358312034,5,11.252555979970777,0.088868698078905,-2.5532167839685114,0.04587653714632318,0.6117470706827697,0.5162283024062103,7.001847487513105,81.34306298931143,42.68810545137364,10,9.607005925409549,0.10409070294784581,-2.3638643697087467,0.044049302271980645,0.5110871579992469,0.4231819079370744,4.5333745527808,48.58170757572172
23m_zh_078,23,m,zh,078,8,8.975210361467125,0.11141800133100566,-2.3985821171323676,0.07925268143544419,0.6779691708686448,0.711309487593452,9.991688232612637,79.88822518354188,8,9.928594848716855,0.10071918687761111,-2.396577446929477,0.0539662101796991,0.46296066094898675,0.5358086363949317,4.838492308354975,39.22993869443084,47.478326515086714,16,9.427861361267738,0.10606859410430838,-2.397579782030922,0.06573240398966346,0.5608231727531118,0.6197159917573895,5.7422065121254615,47.64857263723733
23m_zh_079,23,m,zh,079,6,8.12535808433128,0.12307149907994491,-2.128805790399113,0.03444543727694227,0.28832413236992505,0.2798815122465289,3.31581687469175,25.803376581457314,6,9.486835572083578,0.10540922654363784,-2.317516760390802,0.04137005883971019,0.4073185185212828,0.39247094581975334,4.985288925682693,45.686237376825616,46.13484409065531,12,8.753473600635173,0.11424036281179138,-2.2231612753949577,0.037447802704618754,0.3505879989093418,0.3277983523766747,3.3628007688547576,28.85439686061666
23m_zh_080,23,m,zh,080,7,8.23611455506264,0.12141647536766133,-2.274678205947853,0.06560441410376461,0.6734145439776823,0.5403254698763724,7.568780285533043,63.73798409259505,6,11.190652404703382,0.08936029498867326,-2.5304250761760048,0.051674390543321604,0.5066241084926721,0.5782701427952036,4.355898105658648,47.08704433295015,38.68195866571172,13,9.37898766482348,0.10662131519274376,-2.3927152229762307,0.05950825037521424,0.592703973927018,0.5581271462243615,5.996811172066638,52.867238356840474
23m_zh_081,23,m,zh,081,8,9.767709656279404,0.1023781454598342,-2.4896302952882325,0.07211965814264348,0.7010701457975667,0.7044438812474684,6.980245249541499,74.63653940786187,7,12.64646140521157,0.07907350269442984,-2.5937105322863325,0.031101025794865903,0.3520592009420253,0.39331792237726115,2.527149739093859,32.56621781839517,40.32776071266747,15,10.928645773100497,0.0915026455026455,-2.538201072554012,0.05621384908061832,0.5493250140711685,0.6143412441446087,5.107954268493777,54.981503857961435
23m_zh_082,23,m,zh,082,7,8.301356504309014,0.12046224005449309,-2.235624799972584,0.05482849480256668,0.5744402662968514,0.45515088195075987,4.35088834605414,48.686742201137264,7,10.147493173869156,0.09854650630119204,-2.766080091860379,0.10549511772196293,1.0490760776815864,1.070510986960142,12.441479823948553,115.12026492581609,44.99660764284993,14,9.132055378061768,0.10950437317784256,-2.500852445916481,0.08156797546724442,0.8579086053287744,0.7448832690432599,7.894011508113405,76.44235585789065
