agegroup,subjectID,sex,s,stdevM,varcoM,rPVIm,nPVIm,stdevP,varcoP,rPVIp,nPVIp
o_,5,m_re,d_0,4.155966079232064,7.42779797820921,5.877423594012512,10.504492639350904,4.963846387669434,7.727107297887647,7.0088397544449315,10.817469202397643
o_,5,m_re,d_0,6.208241846170187,11.683743665624311,9.039720222923696,17.405146459421516,4.21467504168457,6.867240740334179,4.139947194371265,6.654779021847617
o_,5,m_re,d_0,5.2556966419178766,10.190494493631856,7.46926014693826,14.371331355928922,5.461317429941564,9.035634478444134,7.175374774283052,11.759025261696094
o_,5,m_re,d_0,6.684142189224948,12.591063790029088,5.183600378845282,9.42013711872176,6.100038063640181,9.902308845001315,8.992712733264943,14.874372051774516
o_,5,m_re,d_0,7.175593909381272,13.189955970461687,8.609002837539972,15.538766792073332,4.710700180422999,7.553447739351561,6.941785747324946,11.294168866402165
o_,5,m_re,d_0,4.356108340209582,7.669028112920085,5.5237400190166674,9.622853266379423,4.507752032922219,7.232966176920623,4.532216359421422,7.20934666623288
o_,5,m_re,d_0,5.611715212471096,10.319299446971787,6.5370727755819615,11.786848107830991,4.8490137318825735,7.412894596942761,3.2418240213666447,4.955550803141434
o_,5,m_re,d_0,3.9242831048266003,6.8991329269637,2.942726282859271,5.2141663767649336,5.494138257475107,8.762161965643399,6.226447780206658,10.334708250583217
o_,5,m_re,d_0,3.397462735316056,6.327791891714534,3.64499162688944,6.762749764710501,2.498889066120115,4.054632034941333,1.9337850996038577,3.1764952278684633
o_,5,m_re,d_0,5.969452966376555,11.096503108465964,7.240735013130125,12.977521513071839,3.584101825953512,5.920106388639009,3.662613961778935,6.176525998617668
o_,5,m_re,d_0,3.7892403499841496,6.722556133837307,4.462266310062288,7.91374064035361,3.7021982518329044,5.8712947510773645,4.721776349336372,7.403674216063736
o_,5,m_re,d_0,5.029435203817905,9.44089523009313,5.862479297314471,11.176071385756075,4.880122959056046,7.554705005518689,5.919667729518407,9.159539904549405
o_,5,m_re,d_0,2.581263259753065,4.904678797466112,3.054422577815669,5.768435714586896,3.906694974807463,6.512766122219845,4.0906742486179475,6.873770307326085
o_,5,m_re,d_0,4.456291621746428,7.971355229648466,5.7674094796317,10.348222973957801,2.8099993913650247,4.421872114721881,2.9393075537401194,4.518113597095771
o_,5,m_re,d_0,5.852619153934372,10.542354230565643,5.0697600428829945,9.12486035208875,2.44100975799901,3.9318888649597357,2.7315039669914576,4.414009022073549
o_,5,m_re,d_0,5.0506757022361235,9.714415423775822,6.422145489768252,12.668532862913704,3.728310554875556,6.042991876728081,4.275262750385039,6.913319749382116
o_,5,m_re,d_0,4.753501099043622,8.332523449197263,5.902748081196282,10.639942988006071,2.997258144132359,4.688819384072651,3.601898321693594,5.636334050021556
o_,5,m_re,d_0,8.71032757274594,15.370909613659919,11.188476743808433,19.78048335115632,4.771704573622015,7.290268416922895,4.516305051952119,6.881892722736617
o_,5,m_re,d_0,3.8671259302164187,6.510424874033682,3.634537672534904,6.090029181156697,3.9754338540840566,6.120228268077074,4.777052887260098,7.499073099711776
o_,5,m_re,d_0,3.9433750837440713,7.004963657629995,5.213787548257874,9.174760391876472,4.074602162560559,6.511086671363108,5.007738892560141,8.010845840159256
o_,5,m_re,d_0,4.09651849778535,8.09679755914655,5.191021879236639,10.182468528085328,3.8194878344693457,6.319240507939267,5.024007794660814,8.289014935780331
