Named Entities:
  31 Gryphon
  30 Alice
  28 Turtle
  28 Mock
  11 Soup
   9 The
   7 Soo
   6 So
   5 Will
   5 Lobster
   5 It
   5 Beautiful
   4 You
   4 What
   4 They
   4 Quadrille
   4 No
   4 Come
   4 But
   4 Beau
   4 And
   3 Would
   3 Why
   3 Who
   3 When
   3 That
   3 Panther
   3 Owl
   3 Oh
   3 How
   2 Yes
   2 While
   2 There
   2 Then
   2 Thank
   2 Tell
   2 She
   2 Of
   2 He
   2 Go
   1 Wouldn
   1 With
   1 William
   1 White
   1 Which
   1 Well
   1 We
   1 Was
   1 Waiting
   1 Very
   1 Two
   1 Turn
   1 Trims
   1 Too
   1 Tis
   1 Swim
   1 Stand
   1 Soles
   1 Sing
   1 Shark
   1 Shall
   1 See
   1 Seals
   1 Same
   1 Said
   1 Rabbit
   1 Pennyworth
   1 Or
   1 Now
   1 Keep
   1 If
   1 However
   1 Hm
   1 His
   1 Her
   1 Game
   1 France
   1 Father
   1 Explain
   1 England
   1 Each
   1 Don
   1 Does
   1 Do
   1 Dinn
   1 Chorus
   1 Change
   1 Caterpillar
   1 Boots
   1 Back
   1 At
   1 As

Sentiment Expressions:
