Named Entities:
  43 Alice
  17 Cat
  14 Duchess
  12 The
  11 Footman
   9 It
   6 You
   6 Oh
   6 And
   5 There
   5 March
   5 But
   4 She
   4 Queen
   4 If
   4 Hare
   4 For
   4 Cheshire
   3 While
   3 How
   2 Wow
   2 Well
   2 Then
   2 That
   2 Please
   2 Pig
   2 Now
   2 In
   2 He
   2 Hatter
   2 Fish
   2 As
   2 An
   1 Would
   1 Which
   1 What
   1 Visit
   1 Twenty
   1 To
   1 This
   1 They
   1 Therefore
   1 Talking
   1 Suppose
   1 Speak
   1 So
   1 Puss
   1 Pepper
   1 No
   1 Mind
   1 May
   1 Just
   1 Here
   1 From
   1 Frog
   1 First
   1 Even
   1 Don
   1 Do
   1 Did
   1 Come
   1 Call
   1 By
   1 Because
   1 At
   1 Anything
   1 All

Sentiment Expressions:
