Named Entities:
  23 Alice
  18 Mouse
  12 Dodo
   7 And
   6 The
   6 Lory
   5 What
   5 Dinah
   5 But
   4 You
   3 William
   3 Why
   3 This
   3 Caucus
   2 We
   2 They
   2 There
   2 Said
   2 Prizes
   2 Oh
   2 Northumbria
   2 Morcar
   2 Mercia
   2 Let
   2 It
   2 In
   2 However
   2 Fury
   2 Found
   2 English
   2 Edwin
   2 Eaglet
   2 Duck
   2 Crab
   2 Come
   2 At
   1 Yes
   1 With
   1 Ugh
   1 Then
   1 That
   1 Tale
   1 Such
   1 Stigand
   1 Speak
   1 Some
   1 Sit
   1 Silence
   1 She
   1 Shakespeare
   1 Race
   1 Please
   1 Only
   1 One
   1 On
   1 Of
   1 Not
   1 Normans
   1 Nobody
   1 Mine
   1 Magpie
   1 Ma
   1 Long
   1 Indeed
   1 How
   1 Hold
   1 Hand
   1 For
   1 First
   1 Edgar
   1 Did
   1 Conqueror
   1 Canterbury
   1 Canary
   1 Atheling
   1 As
   1 Ahem
   1 Ah

Sentiment Expressions:
   2 sad
   1 hate
   1 afraid
