Named Entities:
  52 Alice
  28 Turtle
  26 Mock
  20 Gryphon
  19 Duchess
  14 Queen
   9 What
   9 The
   7 You
   7 And
   6 It
   4 Come
   3 Yes
   3 Well
   3 Tortoise
   3 That
   3 So
   3 Oh
   3 Drawling
   3 But
   2 Why
   2 When
   2 We
   2 Uglification
   2 This
   2 They
   2 Then
   2 Take
   2 Soup
   2 She
   2 Off
   2 Of
   2 Now
   2 Never
   2 Mystery
   2 King
   2 He
   2 French
   2 Ah
   1 Writhing
   1 With
   1 Very
   1 Up
   1 Tut
   1 Tis
   1 Those
   1 Thinking
   1 These
   1 Thank
   1 Ten
   1 Stretching
   1 Story
   1 Somebody
   1 Shall
   1 Seaography
   1 Right
   1 Reeling
   1 Pray
   1 Perhaps
   1 Only
   1 Once
   1 No
   1 Maybe
   1 Majesty
   1 Let
   1 Laughing
   1 Just
   1 If
   1 However
   1 How
   1 Hold
   1 Hjckrrh
   1 Have
   1 Hadn
   1 Grief
   1 Fainting
   1 Everything
   1 Everybody
   1 Drive
   1 Don
   1 Distraction
   1 Derision
   1 Coils
   1 Classics
   1 Certainly
   1 Birds
   1 Be
   1 At
   1 As
   1 Arithmetic
   1 Ambition
   1 All

Sentiment Expressions:
