Named Entities:
  28 Alice
   6 There
   6 Rabbit
   5 She
   5 Dinah
   4 Oh
   4 Do
   4 And
   3 Which
   3 How
   3 Down
   2 Why
   2 White
   2 Well
   2 The
   2 So
   2 No
   2 Longitude
   2 Latitude
   2 However
   2 First
   2 But
   1 Zealand
   1 Would
   1 What
   1 Suddenly
   1 Soon
   1 Presently
   1 Please
   1 Now
   1 New
   1 Ma
   1 Let
   1 It
   1 In
   1 Hole
   1 For
   1 Either
   1 Drink
   1 Come
   1 Australia
   1 Antipathies
   1 After

Sentiment Expressions:
   1 afraid
