Named Entities:
  16 The
   6 You
   4 We
   4 My
   4 It
   4 But
   4 Begone
   3 Yet
   3 They
   3 These
   3 If
   3 He
   3 Frankenstein
   2 Why
   2 Still
   2 Remember
   2 Oh
   2 Montanvert
   2 Listen
   2 In
   2 How
   2 For
   2 Cursed
   2 As
   2 And
   2 All
   1 Wretched
   1 Will
   1 Where
   1 What
   1 Wandering
   1 Thus
   1 There
   1 Their
   1 That
   1 Shall
   1 Relieve
   1 Presently
   1 Or
   1 On
   1 Nought
   1 Nature
   1 Mont Blanc
   1 Man
   1 Make
   1 Life
   1 Let
   1 Hear
   1 Have
   1 From
   1 Fiend
   1 Everywhere
   1 Embrace
   1 Do
   1 Devil
   1 By
   1 Believe
   1 Be
   1 Arveiron
   1 Alas
   1 Adam
   1 Abhorred
