Named Entities:
   6 The
   6 My
   5 In
   4 It
   3 But
   3 After
   2 When
   2 Waldman
   2 Sometimes
   2 One
   2 No
   2 If
   2 As
   1 You
   1 Winter
   1 Who
   1 Whence
   1 What
   1 Unless
   1 Two
   1 To
   1 These
   1 Some
   1 Remember
   1 Pursuing
   1 Professor Krempe
   1 Peru
   1 Now
   1 Not
   1 Nor
   1 None
   1 Mexico
   1 Life
   1 Learn
   1 Krempe
   1 Ingolstadt
   1 His
   1 Greece
   1 Geneva
   1 From
   1 Every
   1 Darkness
   1 Cornelius Agrippa
   1 Cæsar
   1 Arabian
   1 And
   1 America
   1 Although
