Named Entities:
  11 He
   8 The
   8 She
   7 My
   7 Elizabeth
   5 Waldman
   5 Krempe
   4 They
   4 It
   4 Ingolstadt
   3 Such
   3 On
   3 In
   3 His
   3 Clerval
   2 We
   2 This
   2 These
   2 So
   2 Paracelsus
   2 But
   2 As
   2 And
   1 You
   1 Yet
   1 With
   1 When
   1 Thus
   1 There
   1 Partly
   1 Now
   1 Never
   1 If
   1 Henry
   1 Have
   1 Good God
   1 Geneva
   1 Frankenstein
   1 Farewell
   1 Every
   1 During
   1 Destruction
   1 Cornelius
   1 Chemistry
   1 Chance
   1 By
   1 Besides
   1 At
   1 Angel
   1 Albertus Magnus
   1 Alas
   1 Agrippa
   1 After
