Named Entities:
  34 Arthur
  22 Van
  22 Helsing
  20 The
  16 Lucy
  15 We
  13 Professor
  12 When
  12 He
  11 Un
  11 It
  10 Quincey
  10 Dead
  10 And
   9 But
   8 There
   8 Then
   6 God
   5 She
   4 Thing
   4 My
   4 Come
   4 As
   3 You
   3 To
   3 This
   3 Tell
   3 So
   3 One
   3 Morris
   3 John
   3 Is
   3 For
   2 Yes
   2 With
   2 What
   2 Westenra
   2 Two
   2 Oh
   2 Never
   2 Friend
   2 First
   2 Each
   2 Before
   2 Amsterdam
   1 Your
   1 Yesterday
   1 Will
   1 Was
   1 Wait
   1 True
   1 Till
   1 Those
   1 Thor
   1 They
   1 That
   1 Take
   1 Shall
   1 Seward
   1 September
   1 Scott
   1 Presently
   1 Outside
   1 Only
   1 Of
   1 Now
   1 Not
   1 No
   1 Miss
   1 Medusa
   1 Leave
   1 Last
   1 Kiss
   1 Japanese
   1 Instead
   1 Indulgence
   1 In
   1 If
   1 How
   1 Host
   1 His
   1 Him
   1 Greeks
   1 Great
   1 Go
   1 Forgiven
   1 Finally
   1 Europe
   1 Eastern
   1 Do
   1 Did
   1 Deads
   1 Coming
   1 By
   1 Brave
   1 At
   1 Answer
   1 Angels
   1 Am

Sentiment Expressions:
