Named Entities:
  12 The
   6 Elizabeth
   6 But
   5 My
   4 This
   4 It
   4 He
   3 What
   3 She
   3 As
   3 After
   2 You
   2 Why
   2 When
   2 There
   2 Geneva
   2 For
   2 Ernest
   1 William
   1 Who
   1 While
   1 Victor
   1 That
   1 Tears
   1 Suddenly
   1 Sometimes
   1 Peace
   1 Oh
   1 Nothing
   1 Nor
   1 Mine
   1 Melancholy
   1 Man
   1 Life
   1 Liberty
   1 Know
   1 Justine
   1 In
   1 If
   1 However
   1 His
   1 Great God
   1 Genevan
   1 Everywhere
   1 Cursed
   1 Could
   1 Clerval
   1 Cease
   1 Besides
   1 Be
   1 Alps
   1 Alas

Sentiment Expressions:
   2 love
   1 wonderful
   2 miserable
   1 sad
   1 hopeless
   1 gloomy
   1 angry
